kategorija;usluga;duljina_kose;sidrena_cijena_eur_10_9_2026;cijena_eur;napomena;azurirano
Šišanje i frizura;Konzultacija;;;0,00;Dogovor boje, duljine i cijene;21. 9. 2026.
Šišanje i frizura;Pranje kose i šišanje;kratka;;22,00;;21. 9. 2026.
Šišanje i frizura;Pranje kose i šišanje;poluduga;;26,00;;21. 9. 2026.
Šišanje i frizura;Pranje kose i šišanje;duga;;30,00;;21. 9. 2026.
Šišanje i frizura;Pranje kose i frizura;kratka;;20,00;;21. 9. 2026.
Šišanje i frizura;Pranje kose i frizura;poluduga;;24,00;;21. 9. 2026.
Šišanje i frizura;Pranje kose i frizura;duga;;28,00;;21. 9. 2026.
Šišanje i frizura;Pranje, šišanje i frizura;kratka;;30,00;;21. 9. 2026.
Šišanje i frizura;Pranje, šišanje i frizura;poluduga;;36,00;;21. 9. 2026.
Šišanje i frizura;Pranje, šišanje i frizura;duga;;42,00;;21. 9. 2026.
Šišanje i frizura;Šišanje šiški;;;6,00;;21. 9. 2026.
Šišanje i frizura;Izrada pletenice;;;10,00;;21. 9. 2026.
Šišanje i frizura;Svečana frizura — spuštena kosa;;;30,00;;21. 9. 2026.
Šišanje i frizura;Svečana frizura — dignuta kosa;;;45,00;;21. 9. 2026.
Šišanje i frizura;Muško šišanje i pranje kose;;;15,00;;21. 9. 2026.
Šišanje i frizura;Šišanje mašinom;;;10,00;;21. 9. 2026.
Šišanje i frizura;Muško bojanje, pranje i šišanje;;;30,00;;21. 9. 2026.
Šišanje i frizura;Dječje šišanje;;;12,00;do 12 godina;21. 9. 2026.
Boja i pramenovi;Bojanje, pranje i frizura;kratka;;45,00;INOA — bez amonijaka;21. 9. 2026.
Boja i pramenovi;Bojanje, pranje i frizura;poluduga;;52,00;INOA — bez amonijaka;21. 9. 2026.
Boja i pramenovi;Bojanje, pranje i frizura;duga;;60,00;INOA — bez amonijaka;21. 9. 2026.
Boja i pramenovi;Bojanje, pranje, šišanje i frizura;kratka;;55,00;;21. 9. 2026.
Boja i pramenovi;Bojanje, pranje, šišanje i frizura;poluduga;;62,00;;21. 9. 2026.
Boja i pramenovi;Bojanje, pranje, šišanje i frizura;duga;;70,00;;21. 9. 2026.
Boja i pramenovi;HTO, pranje, šišanje i frizura;kratka;;30,00;Osvježavanje tona;21. 9. 2026.
Boja i pramenovi;HTO, pranje, šišanje i frizura;poluduga;;36,00;Osvježavanje tona;21. 9. 2026.
